,hash,author,date,commit_message,is_merge,codebase_size,lines_changed,total_lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
297,8047cbec5fc727c500ec786935e2a3a1a3d84ba4,oz123,2014-07-26 17:35:31+00:00,"Use new style class for NVD3Chart

This allows calling super",False,5135,2,16689,1,1,,,
298,3a43eba2e209994ae53d0b094211dcf107bf27c5,oz123,2014-07-26 17:48:56+00:00,"Add a new class DiscreteBarChart

Note the capital D. This is a new class which does not
render so many templates like discreteBarChart. Rather,
this class renders a templates which exploits Jinja
template inheritance. This template simply extends the template
content.html.

Future release can do:

    discreteBarChart = DiscreteBarChart

Such that, if discreteBarChart is removed the old class is still
available from the user's point of view.

Also, this class violates the DRY principle, it overrides methods
of NVD3Chart base class. This pattern will be introduced by all
other Capital letter new classes. This methods can be moved later to
a Mixin class.",False,5229,98,16787,96,2,0.37037037037037035,1.0,1.0
299,65a8d77b990243536059fe9a45846b2477728255,oz123,2014-07-26 17:52:24+00:00,Add LineChart which uses template inheritance,False,5360,131,16918,131,0,0.29411764705882354,1.0,1.0
300,8f436a627c13b3a94c4953cdacea02b976461636,oz123,2014-07-26 17:52:57+00:00,Add LinePlusBarWithFocusChart which supports inheritance,False,5519,161,17079,160,1,0.23809523809523808,1.0,1.0
301,a336b8737d3801db5c2a2cc2b6ee81faf3e18142,oz123,2014-07-26 17:53:59+00:00,Add CumulativeLineChart,False,5639,120,17199,120,0,0.35714285714285715,1.0,1.0
302,61804f96e76c78d63e5cbe2af27ff250c84f40d7,oz123,2014-07-26 17:54:53+00:00,Add LinePlusBarChart,False,5761,122,17321,122,0,0.3225806451612903,1.0,1.0
303,ab1d373edff0e9448ca9328467c2b596ca6c948c,oz123,2014-07-26 18:21:44+00:00,Add LineWithFocusChart,False,5885,124,17445,124,0,0.3448275862068966,1.0,1.0
304,eaa0d22fe5197b21383e8b1ce46b0ddc91fa3903,oz123,2014-07-26 18:23:21+00:00,Add MultiBarChart,False,5993,108,17553,108,0,0.38461538461538464,1.0,1.0
305,873b75c9aa20f2c3c46881a40f5ab5bcbf836ce1,oz123,2014-07-26 18:23:45+00:00,Add MultiBarHorizontalChart,False,6095,102,17655,102,0,1.0,1.0,1.0
306,30afcded698eae6d1f6ea4e2ddd6d5def8908df3,oz123,2014-07-26 18:26:09+00:00,Add PieChart,False,6251,166,17821,161,5,1.0,1.0,1.0
307,8b46547a316fc922950488eb5d69500c5dc79faf,oz123,2014-07-26 18:27:37+00:00,Add forgotten model property,False,6253,2,17823,2,0,0.0,1.0,1.0
308,fae84a49b39a4cb2019283b03ce6e54b4613d1d0,oz123,2014-07-26 18:28:05+00:00,Modify example,False,6253,2,17825,1,1,,,
309,34764dd7d3cf9190880c49d7c3021d3c643d4e33,oz123,2014-07-26 18:28:29+00:00,Add ScatterChart,False,6362,113,17938,111,2,1.0,1.0,1.0
